step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
283,583984,4528,0.0041156032447977435,0.875,0.875,,,,,
284,586048,4544,0.0038858548303771956,0.875,0.875,,,,,
285,588112,4560,0.0029009013978542448,1.0,1.0,,,,,
286,590176,4576,0.003850179873652844,0.875,0.875,,,,,
287,592240,4592,0.00256505680459833,1.0,1.0,,,,,
288,594304,4608,0.004254192419152339,0.875,0.875,,,,,
289,596368,4624,0.005005271000338752,0.75,0.75,0.003143417114142128,0.9375,0.9375,,
290,598432,4640,0.0043355151965992315,0.875,0.875,,,,,
291,600496,4656,0.0039454366257111965,0.8125,0.8125,,,,,
292,602560,4672,0.0025510280288105823,1.0,1.0,,,,,
293,604624,4688,0.0031559126146932176,0.9375,0.9375,,,,,
294,606688,4704,0.00305868843137523,1.0,1.0,,,,,
295,608752,4720,0.0025821189888662046,1.0,1.0,,,,,
296,610816,4736,0.0031550846593959986,0.9375,0.9375,,,,,
297,612880,4752,0.003670074023559648,0.9375,0.9375,0.003572667020610173,0.9375,0.9375,,
298,614944,4768,0.0025068203368483035,1.0,1.0,,,,,
299,617008,4784,0.004954559581785426,0.8125,0.8125,,,,,
300,619072,4800,0.0037029258984481116,0.875,0.875,,,,,
301,621136,4816,0.003454061798897716,1.0,1.0,,,,,
302,623200,4832,0.004593672986252037,0.8125,0.8125,,,,,
303,625264,4848,0.0031928409778760143,0.9375,0.9375,,,,,
304,627328,4864,0.004003053710716947,0.875,0.875,,,,,
305,629392,4880,0.003106252798375968,0.9375,0.9375,0.0040674263531174735,0.875,0.875,,
306,631456,4896,0.004967188925481173,0.875,0.875,,,,,
307,633520,4912,0.003612439239275358,0.9375,0.9375,,,,,
308,635584,4928,0.003685682754681009,0.9375,0.9375,,,,,
309,637648,4944,0.003257215184026274,0.9375,0.9375,,,,,
310,639712,4960,0.0051254361313605185,0.8125,0.8125,,,,,
311,641776,4976,0.004638558232254236,0.75,0.75,,,,,
312,643840,4992,0.003919599697131417,0.875,0.875,,,,,
313,645904,5008,0.003914862900888052,0.875,0.875,0.0033209622479760535,0.9375,0.9375,,
314,647968,5024,0.004056338062505585,0.8125,0.8125,,,,,
315,650032,5040,0.003852133540045619,0.875,0.875,,,,,
316,652096,5056,0.0036362268450925383,0.875,0.875,,,,,
317,654160,5072,0.0037120135768589817,0.9375,0.9375,,,,,
318,656224,5088,0.004366064680220378,0.75,0.75,,,,,
319,658288,5104,0.003834305526874482,0.9375,0.9375,,,,,
320,660352,5120,0.0030355978658191205,1.0,1.0,,,,,
321,662416,5136,0.003743423114369293,0.875,0.875,0.003307775719964795,0.9375,0.9375,,
322,664480,5152,0.003344908264283627,0.9375,0.9375,,,,,
323,666544,5168,0.004138665265594323,0.875,0.875,,,,,
324,668608,5184,0.0049742880727089486,0.75,0.75,,,,,
325,670672,5200,0.003002159000275088,1.0,1.0,,,,,
326,672736,5216,0.00318020073461436,0.9375,0.9375,,,,,
327,674800,5232,0.003627819370039701,0.9375,0.9375,,,,,
328,676864,5248,0.0032541982253615673,0.9375,0.9375,,,,,
329,678928,5264,0.003938727472613376,0.875,0.875,0.0036999333085004547,0.9375,0.9375,,
330,680992,5280,0.004041635006426386,0.875,0.875,,,,,
331,683056,5296,0.002507651354039778,1.0,1.0,,,,,
332,685120,5312,0.0035468884637605063,0.875,0.875,,,,,
333,687184,5328,0.003656673584448242,0.9375,0.9375,,,,,
334,689248,5344,0.003042306191836789,0.9375,0.9375,,,,,
335,691312,5360,0.0034766712173297833,0.875,0.875,,,,,
336,693376,5376,0.003637669014748726,0.9375,0.9375,,,,,
337,695440,5392,0.0036408305860551613,0.9375,0.9375,0.004262451511442009,0.875,0.875,,
338,697504,5408,0.0031569030295493994,0.9375,0.9375,,,,,
339,699568,5424,0.0029746264616367923,1.0,1.0,,,,,
340,701632,5440,0.0035127933276426345,0.9375,0.9375,,,,,
341,703696,5456,0.0031023138284716452,0.9375,0.9375,,,,,
342,705760,5472,0.0026660195285412355,1.0,1.0,,,,,
343,707824,5488,0.0037188839766473334,1.0,1.0,,,,,
344,709888,5504,0.0030828843210280793,1.0,1.0,,,,,
345,711952,5520,0.003941292705740869,0.875,0.875,0.0035182470581666047,0.9375,0.9375,,
346,714016,5536,0.0030595467958623407,1.0,1.0,,,,,
347,716080,5552,0.0025185099725740685,1.0,1.0,,,,,
348,718144,5568,0.002647550222294673,1.0,1.0,,,,,
349,720208,5584,0.0032472663662791836,0.9375,0.9375,,,,,
350,722272,5600,0.0038047361918189192,0.875,0.875,,,,,
351,724336,5616,0.003966516722397022,0.8125,0.8125,,,,,
352,726400,5632,0.0037201927130105536,0.8125,0.8125,,,,,
353,728464,5648,0.003871053145232982,0.8125,0.8125,0.0025209062668390325,1.0,1.0,,
354,730528,5664,0.003868828004927269,0.9375,0.9375,,,,,
355,732592,5680,0.0033115801242414892,0.9375,0.9375,,,,,
356,734656,5696,0.003502775006296639,0.875,0.875,,,,,
357,736720,5712,0.003520763273651542,0.875,0.875,,,,,
358,738784,5728,0.0027652325100590573,1.0,1.0,,,,,
359,740848,5744,0.002485581332203249,1.0,1.0,,,,,
360,742912,5760,0.002446288101915045,1.0,1.0,,,,,
361,744976,5776,0.002972772580104279,1.0,1.0,0.004353688256812394,0.875,0.875,,
362,747040,5792,0.005378728240999119,0.6875,0.6875,,,,,
363,749104,5808,0.0026880510490204725,1.0,1.0,,,,,
364,751168,5824,0.0033564524834654155,0.9375,0.9375,,,,,
365,753232,5840,0.004060779770031587,0.8125,0.8125,,,,,
366,755296,5856,0.0027755377442283064,1.0,1.0,,,,,
367,757360,5872,0.0029530316860269475,0.9375,0.9375,,,,,
368,759424,5888,0.003214431571070541,0.9375,0.9375,,,,,
369,761488,5904,0.004430973272867745,0.8125,0.8125,0.0032131983458635587,0.9375,0.9375,,
370,763552,5920,0.0033682567589260947,0.875,0.875,,,,,
371,765616,5936,0.0037047153702966865,0.9375,0.9375,,,,,
372,767680,5952,0.0028404481903086722,0.9375,0.9375,,,,,
373,769744,5968,0.0033350009938696774,0.875,0.875,,,,,
374,771808,5984,0.0037044279045564347,0.875,0.875,,,,,
375,773872,6000,0.003373539874216816,0.9375,0.9375,,,,,
376,775936,6016,0.0030389519833556116,1.0,1.0,,,,,
377,778000,6032,0.0029588065766580195,1.0,1.0,0.003553985136017213,0.875,0.875,,
378,780064,6048,0.0032012150120826303,0.9375,0.9375,,,,,
379,782128,6064,0.002760251013465888,1.0,1.0,,,,,
380,784192,6080,0.0036422343401977036,0.875,0.875,,,,,
381,786256,6096,0.0024841222965573885,1.0,1.0,,,,,
382,788320,6112,0.003395634286880062,0.875,0.875,,,,,
383,790384,6128,0.0038440308450772218,0.8125,0.8125,,,,,
384,792448,6144,0.004431283465120155,0.875,0.875,,,,,
385,794512,6160,0.004311808579597006,0.8125,0.8125,0.003142306985908731,0.9375,0.9375,,
386,796576,6176,0.0029082984711998614,0.9375,0.9375,,,,,
387,798640,6192,0.004082954040785153,0.8125,0.8125,,,,,
388,800704,6208,0.003062617247714598,0.9375,0.9375,,,,,
389,802768,6224,0.0032905370516742053,1.0,1.0,,,,,
390,804832,6240,0.0037030598048622626,0.9375,0.9375,,,,,
391,806896,6256,0.002985096250841712,1.0,1.0,,,,,
392,808960,6272,0.002477313166597336,1.0,1.0,,,,,
393,811024,6288,0.00430727348913261,0.8125,0.8125,0.004183820116990395,0.875,0.875,,
394,813088,6304,0.0038206043707558176,0.8125,0.8125,,,,,
395,815152,6320,0.0030452532809451005,1.0,1.0,,,,,
396,817216,6336,0.0036011963911342154,0.875,0.875,,,,,
397,819280,6352,0.00436793613599159,0.875,0.875,,,,,
398,821344,6368,0.002390878551342341,1.0,1.0,,,,,
399,823408,6384,0.005054784759164198,0.75,0.75,,,,,
400,825472,6400,0.0027338033157068165,1.0,1.0,,,,,
401,827536,6416,0.0024909798740050514,1.0,1.0,0.0036544978211159743,0.8125,0.8125,,
402,829600,6432,0.0033434901055688078,0.9375,0.9375,,,,,
403,831664,6448,0.002496644126553693,1.0,1.0,,,,,
404,833728,6464,0.0033770222884499227,0.9375,0.9375,,,,,
405,835792,6480,0.0031645572786929616,0.9375,0.9375,,,,,
406,837856,6496,0.0037841581751260553,0.9375,0.9375,,,,,
407,839920,6512,0.0035100642180346062,0.9375,0.9375,,,,,
408,841984,6528,0.003215100769776437,0.9375,0.9375,,,,,
409,844048,6544,0.0027975054755448466,0.9375,0.9375,0.004001454872955655,0.875,0.875,,
410,846112,6560,0.003456378893497517,0.9375,0.9375,,,,,
411,848176,6576,0.002933110468159749,1.0,1.0,,,,,
412,850240,6592,0.0036161349496426176,0.9375,0.9375,,,,,
413,852304,6608,0.003311251629141764,0.9375,0.9375,,,,,
414,854368,6624,0.004678623486100529,0.875,0.875,,,,,
415,856432,6640,0.0031168341591917554,0.9375,0.9375,,,,,
416,858496,6656,0.0038544783123939065,0.9375,0.9375,,,,,
417,860560,6672,0.003159499129964637,0.9375,0.9375,0.0030832277143040014,0.9375,0.9375,,
418,862624,6688,0.00276088181438574,1.0,1.0,,,,,
419,864688,6704,0.004111006838722272,0.875,0.875,,,,,
420,866752,6720,0.0025160723951275586,1.0,1.0,,,,,
421,868816,6736,0.002528448571331889,1.0,1.0,,,,,
422,870880,6752,0.002677602337886883,1.0,1.0,,,,,
423,872944,6768,0.004591639711320012,0.8125,0.8125,,,,,
424,875008,6784,0.005618297703569823,0.75,0.75,,,,,
425,877072,6800,0.0026398818361818353,1.0,1.0,0.002464184768246491,1.0,1.0,,
426,879136,6816,0.004560966066981698,0.75,0.75,,,,,
427,881200,6832,0.003948484524881001,0.875,0.875,,,,,
428,883264,6848,0.003272191936886328,0.9375,0.9375,,,,,
429,885328,6864,0.0030335825667263385,0.9375,0.9375,,,,,
430,887392,6880,0.002953214736595072,1.0,1.0,,,,,
431,889456,6896,0.0026871516886556182,1.0,1.0,,,,,
432,891520,6912,0.004490750928710298,0.75,0.75,,,,,
433,893584,6928,0.004270534513066493,0.8125,0.8125,0.0038712077900620516,0.9375,0.9375,,
434,895648,6944,0.0032228394577542,0.9375,0.9375,,,,,
435,897712,6960,0.0032364130121187206,0.9375,0.9375,,,,,
436,899776,6976,0.003810268897511236,0.875,0.875,,,,,
437,901840,6992,0.0031423105850955178,1.0,1.0,,,,,
438,903904,7008,0.0029204885760280765,1.0,1.0,,,,,
439,905968,7024,0.004475276019862355,0.875,0.875,,,,,
440,908032,7040,0.002791605950204623,1.0,1.0,,,,,
441,910096,7056,0.0034593208628131015,0.9375,0.9375,0.0025127815286356634,1.0,1.0,,
442,912160,7072,0.0026430584506997403,1.0,1.0,,,,,
443,914224,7088,0.0029221130440915907,1.0,1.0,,,,,
444,916288,7104,0.0038121640602169667,0.875,0.875,,,,,
445,918352,7120,0.003849082059476971,0.875,0.875,,,,,
446,920416,7136,0.0031175053112430795,0.9375,0.9375,,,,,
447,922480,7152,0.00392214520592051,0.8125,0.8125,,,,,
448,924544,7168,0.0036701282842982255,0.875,0.875,,,,,
449,926608,7184,0.003346038582010452,0.9375,0.9375,0.0035382950416990603,0.875,0.875,,
450,928672,7200,0.0037182214877632264,0.875,0.875,,,,,
451,930736,7216,0.003719963938499542,0.875,0.875,,,,,
452,932800,7232,0.0028720620415120966,1.0,1.0,,,,,
453,934864,7248,0.00304110102138433,0.9375,0.9375,,,,,
454,936928,7264,0.003947915538222466,0.8125,0.8125,,,,,
455,938992,7280,0.0030262431815733684,0.9375,0.9375,,,,,
456,941056,7296,0.003051391042319834,0.9375,0.9375,,,,,
457,943120,7312,0.0036362420557615035,0.875,0.875,0.002507849998739729,1.0,1.0,,
458,945184,7328,0.003291057204105816,0.875,0.875,,,,,
459,947248,7344,0.004796298844016577,0.6875,0.6875,,,,,
460,949312,7360,0.002789638020780554,1.0,1.0,,,,,
461,951376,7376,0.003485092094519123,0.9375,0.9375,,,,,
462,953440,7392,0.0032030505519450793,0.9375,0.9375,,,,,
463,955504,7408,0.003121871622637792,0.9375,0.9375,,,,,
464,957568,7424,0.002900423140728133,0.9375,0.9375,,,,,
465,959632,7440,0.003046431531914796,1.0,1.0,0.004042449268313027,0.9375,0.9375,,
466,961696,7456,0.002788354531893306,1.0,1.0,,,,,
467,963760,7472,0.0031319515699958886,0.9375,0.9375,,,,,
468,965824,7488,0.003805994922194786,0.75,0.75,,,,,
469,967888,7504,0.00268138179788368,1.0,1.0,,,,,
470,969952,7520,0.002462799788850341,1.0,1.0,,,,,
471,972016,7536,0.0026982950810433954,1.0,1.0,,,,,
472,974080,7552,0.002452722445523784,1.0,1.0,,,,,
473,976144,7568,0.0033111340409927815,0.875,0.875,0.0031713559534500935,0.9375,0.9375,,
474,978208,7584,0.0032731147623199642,1.0,1.0,,,,,
475,980272,7600,0.004007685726843898,0.875,0.875,,,,,
476,982336,7616,0.0038318847446002302,0.8125,0.8125,,,,,
477,984400,7632,0.004657013347621151,0.75,0.75,,,,,
478,986464,7648,0.004140789041807456,0.8125,0.8125,,,,,
479,988528,7664,0.0029606917873976615,1.0,1.0,,,,,
480,990592,7680,0.003981383012999421,0.875,0.875,,,,,
481,992656,7696,0.003767150426530739,0.8125,0.8125,0.00416466761733623,0.8125,0.8125,,
482,994720,7712,0.0029104217035624182,0.9375,0.9375,,,,,
483,996784,7728,0.004244157789839857,0.8125,0.8125,,,,,
484,998848,7744,0.002737325239636123,1.0,1.0,,,,,
485,1000912,7760,0.003146393435465456,0.9375,0.9375,,,,,
486,1002976,7776,0.0033216251321716555,0.875,0.875,,,,,
487,1005040,7792,0.003643527956004892,0.875,0.875,,,,,
488,1007104,7808,0.0028482859379260223,0.9375,0.9375,,,,,
489,1009168,7824,0.0030679540865917766,0.9375,0.9375,0.0028158304860458443,1.0,1.0,,
490,1011232,7840,0.002707636177993625,1.0,1.0,,,,,
491,1013296,7856,0.0038556348568750424,0.8125,0.8125,,,,,
492,1015360,7872,0.0027554786789803862,0.9375,0.9375,,,,,
493,1017424,7888,0.004283930579947838,0.8125,0.8125,,,,,
494,1019488,7904,0.00309960060852788,0.9375,0.9375,,,,,
495,1021552,7920,0.0037456880690818813,0.9375,0.9375,,,,,
496,1023616,7936,0.0034261130437601922,0.875,0.875,,,,,
497,1025680,7952,0.003310569916935286,0.9375,0.9375,0.0032490716837010832,0.9375,0.9375,,
498,1027744,7968,0.004474345340875009,0.8125,0.8125,,,,,
499,1029808,7984,0.004890553536233484,0.8125,0.8125,,,,,
500,1031872,8000,0.004211754419641665,0.8125,0.8125,,,,,
501,1033936,8016,0.0037095963975848417,0.8125,0.8125,,,,,
502,1036000,8032,0.002856477172632645,0.9375,0.9375,,,,,
503,1038064,8048,0.0036280068219848682,0.8125,0.8125,,,,,
504,1040128,8064,0.0034067816564066866,0.9375,0.9375,,,,,
505,1042192,8080,0.003063458954752887,1.0,1.0,0.0027980722262661,0.9375,0.9375,,
506,1044256,8096,0.003525670020647604,0.875,0.875,,,,,
507,1046320,8112,0.003961547448367462,0.875,0.875,,,,,
508,1048384,8128,0.0032885790638872694,0.9375,0.9375,,,,,
509,1050448,8144,0.003581666247965138,0.8125,0.8125,,,,,
510,1052512,8160,0.0037254642065648884,0.9375,0.9375,,,,,
511,1054576,8176,0.0031279950237002047,0.9375,0.9375,,,,,
512,1056640,8192,0.0030990600843344694,0.9375,0.9375,,,,,
513,1058704,8208,0.00277528122886122,0.9375,0.9375,0.003945576604636795,0.8125,0.8125,,
514,1060768,8224,0.0031744730525372303,0.9375,0.9375,,,,,
515,1062832,8240,0.003310597897870641,1.0,1.0,,,,,
516,1064896,8256,0.0030585112047041138,0.9375,0.9375,,,,,
517,1066960,8272,0.004787888467358039,0.6875,0.6875,,,,,
518,1069024,8288,0.002717195663887873,1.0,1.0,,,,,
519,1071088,8304,0.003096908881718383,0.9375,0.9375,,,,,
520,1073152,8320,0.004525063737951661,0.875,0.875,,,,,
521,1075216,8336,0.0029840620289290527,1.0,1.0,0.0036006052641852906,0.875,0.875,,
522,1077280,8352,0.003101806146025764,0.9375,0.9375,,,,,
523,1079344,8368,0.0046259775125012635,0.625,0.625,,,,,
524,1081408,8384,0.002828165564252163,0.9375,0.9375,,,,,
525,1083472,8400,0.0037049331239631072,0.9375,0.9375,,,,,
526,1085536,8416,0.0025057563151659047,1.0,1.0,,,,,
527,1087600,8432,0.0030436823764909563,0.9375,0.9375,,,,,
528,1089664,8448,0.0027749160872138244,1.0,1.0,,,,,
529,1091728,8464,0.0031881249200617946,0.9375,0.9375,0.0031488536119578573,0.9375,0.9375,,
530,1093792,8480,0.00374923712224977,0.9375,0.9375,,,,,
531,1095856,8496,0.0030742688199612697,1.0,1.0,,,,,
532,1097920,8512,0.003462210602049494,0.9375,0.9375,,,,,
533,1099984,8528,0.0023663516423810247,1.0,1.0,,,,,
534,1102048,8544,0.0035869010394603894,1.0,1.0,,,,,
535,1104112,8560,0.003431905515213528,0.9375,0.9375,,,,,
536,1106176,8576,0.0030988612911844386,0.9375,0.9375,,,,,
537,1108240,8592,0.0035928832621341766,0.875,0.875,0.003693518024053647,0.8125,0.8125,,
538,1110304,8608,0.003716045702471161,0.875,0.875,,,,,
539,1112368,8624,0.0034050352272327294,0.9375,0.9375,,,,,
540,1114432,8640,0.0030976041360119017,0.9375,0.9375,,,,,
541,1116496,8656,0.0029316876989534148,0.9375,0.9375,,,,,
542,1118560,8672,0.0031027318444749406,0.9375,0.9375,,,,,
543,1120624,8688,0.0035722360059917335,0.9375,0.9375,,,,,
544,1122688,8704,0.004304992251116241,0.75,0.75,,,,,
545,1124752,8720,0.0029997410409301636,0.9375,0.9375,0.003424288804037174,0.9375,0.9375,,
546,1126816,8736,0.002484168601632396,1.0,1.0,,,,,
547,1128880,8752,0.0040758506793257985,0.75,0.75,,,,,
548,1130944,8768,0.0036068578046891935,0.9375,0.9375,,,,,
549,1133008,8784,0.0030799643405924337,1.0,1.0,,,,,
550,1135072,8800,0.0024616379628407212,1.0,1.0,,,,,
551,1137136,8816,0.002441340891829338,1.0,1.0,,,,,
552,1139200,8832,0.004260674592413001,0.875,0.875,,,,,
553,1141264,8848,0.004005975983124969,0.8125,0.8125,0.0040281365907814635,0.75,0.75,,
554,1143328,8864,0.003074032142319789,1.0,1.0,,,,,
555,1145392,8880,0.003062580760779288,0.9375,0.9375,,,,,
556,1147456,8896,0.0031831492696515365,0.9375,0.9375,,,,,
557,1149520,8912,0.0030551256202290197,1.0,1.0,,,,,
558,1151584,8928,0.0031844086062095905,0.875,0.875,,,,,
559,1153648,8944,0.003112933670888615,0.9375,0.9375,,,,,
560,1155712,8960,0.00421596384244505,0.9375,0.9375,,,,,
561,1157776,8976,0.0034065244874783426,1.0,1.0,0.0035996786764229565,0.875,0.875,,
562,1159840,8992,0.003058248747539561,0.9375,0.9375,,,,,
563,1161904,9008,0.0033314934885143917,0.9375,0.9375,,,,,
564,1163968,9024,0.0030159728609288534,0.9375,0.9375,,,,0.9229999780654907,0.9230955845875902

